vlogId Extr Agr Cons Emot Open
VLOG1 4.9 3.7 3.6 3.2 5.5
VLOG3 5 5 4.6 5.3 4.4
VLOG5 5.9 5.3 5.3 5.8 5.5
VLOG6 5.4 4.8 4.4 4.8 5.7
VLOG7 4.7 5.1 4.4 5.1 4.7
VLOG8 5.4 4.8 3.8 4.1 4.2
VLOG9 5.6 5 4 4.2 4.9
VLOG10 5.4 4.2 5.6 4.6 4.2
VLOG11 2.9 4.2 5.2 5.1 4.1
VLOG12 4.5 2.9 2.2 3.6 4.6
VLOG13 4.6 4.2 4.8 5.4 5.8
VLOG14 6 5.4 4.9 5.1 5.8
VLOG15 3.9 5.2 4.9 5.7 4.1
VLOG16 5 5.6 5.4 5.5 4.2
VLOG17 5.2 2.4 4.1 3.9 4
VLOG18 6.4 4.8 4.8 4.7 6.1
VLOG19 3.4 4.9 4.5 4.6 3.3
VLOG21 3.5 3.6 4.5 5 4.5
VLOG22 5.2 5.5 5 5.5 5.1
VLOG23 3.6 4.4 3.8 4.8 4.5
VLOG24 3.9 5.3 4.5 5.7 4.9
VLOG25 2.7 4.2 4.1 4.2 3.4
VLOG26 4.1 5.3 4.9 3.9 4.8
VLOG27 3.2 5.2 4.6 5.4 4.2
VLOG28 2.7 4.5 3.6 4.4 3.6
VLOG29 5.2 4.9 4 4.4 4.4
VLOG30 5.2 4.1 4.6 5.4 5.2
VLOG31 6.3 4.7 4 4.7 5.2
VLOG32 5.3 4.9 5.5 5.3 4.7
VLOG33 4.2 5.4 4.8 5.3 4.3
VLOG35 5 5.3 3.6 4.6 4.1
VLOG36 5.3 5.4 5.5 6 5.8
VLOG37 5 5.1 4.8 5.2 4.7
VLOG38 4.5 5.1 5.3 5.6 4.2
VLOG39 4.4 4.7 4 5.4 4.7
VLOG42 3.7 5.5 6.2 5.6 5
VLOG43 5.9 5.5 5.6 5.5 6
VLOG44 6.2 2.5 5.2 4.3 5.7
VLOG45 3.6 3.7 4 4.1 4.3
VLOG46 5.7 3.6 4.7 4.7 4.9
VLOG47 4.2 5 5 4.6 4.7
VLOG48 5.2 4.6 4.5 5.6 4.1
VLOG49 4.7 4.1 4.6 5.3 5
VLOG50 4.5 4.1 3.3 4.2 3.6
VLOG51 4.5 5.4 4.7 5.1 5.3
VLOG52 4.1 5.2 5.5 5.7 5.6
VLOG53 3.4 4.6 4.2 5.1 4.2
VLOG54 3.8 4.1 4.4 4.7 3.7
VLOG55 5.7 2.7 3.8 3.4 4.9
VLOG56 4.1 4.3 3.8 4.1 4.1
VLOG57 4.5 3.2 3.6 2.8 3.7
VLOG58 4.5 4.8 4.6 4.4 5.2
VLOG59 5.6 4.6 3.2 4.3 4.6
VLOG60 5.4 4.6 3.1 3.9 4.8
VLOG61 3.3 2.9 4.4 2.4 4.1
VLOG62 5.2 4.4 4.3 4 4.7
VLOG63 4.9 4.2 2.8 4.8 3
VLOG64 5.8 5.5 5.6 5.6 5.6
VLOG65 4.1 5.3 5.1 5.3 4.2
VLOG66 3.9 5.6 5 4.9 4
VLOG67 4.41666666666667 4.91666666666667 3.58333333333333 4.91666666666667 4.33333333333333
VLOG68 6 5.3 3.9 5.2 5.8
VLOG69 4.1 4.6 5.1 4.9 5.2
VLOG70 4.6 6 4.9 5.1 4.2
VLOG71 6.3 3.9 3.7 5 5.2
VLOG72 5.8 2.7 4.1 3.4 4.9
VLOG73 3.2 5.1 4.4 3.7 4.2
VLOG74 3.2 5.1 4.5 5.1 3.5
VLOG75 3.3 4.9 5 5.3 4.2
VLOG76 4.3 6.1 5.9 6.2 4.2
VLOG77 3 3.9 5.4 3.5 3.8
VLOG78 5.6 5.3 4.8 4.3 4.7
VLOG79 3.9 6.1 6 6.1 5
VLOG80 3.5 4.6 4.1 4.9 3.8
VLOG81 5.8 5.2 3 4 5.1
VLOG83 4.9 5.6 4.9 5.9 4.3
VLOG84 6.1 5 4.2 4.3 5.5
VLOG86 6.3 3.6 3.4 3.6 5.9
VLOG87 5.8 5.2 4.6 5.3 5.3
VLOG88 2.7 4.2 4.5 4 4.3
VLOG89 5.6 6 6 6.4 5.4
VLOG90 5.1 5.1 4.6 5.6 4.7
VLOG91 2.8 4.1 4.5 4.8 3.8
VLOG92 5 3.7 4.5 5 4.9
VLOG93 3.9 5.1 5.1 5.3 5.5
VLOG94 4.2 6 6.1 6.5 5.2
VLOG96 3.7 5 4.2 4.9 3.8
VLOG97 2.9 4.2 4.5 4.4 3.3
VLOG98 6.3 5.2 3.9 4.1 5.1
VLOG99 3.7 4.6 5.3 5.2 4.2
VLOG100 4.3 4.9 4.6 5.1 4.3
VLOG102 3.8 4.4 3.9 4.7 4.5
VLOG103 4.6 5.4 4.3 4.5 4.5
VLOG104 4.9 5.6 4.9 5.4 4.6
VLOG105 4.9 5.1 5.3 5.5 5
VLOG106 6.3 5.3 4.2 5 6
VLOG107 4.4 3.6 4.2 4.8 4.9
VLOG108 3.7 5.3 4.5 3.5 4.3
VLOG109 2.4 4.3 3.6 4.3 3.6
VLOG110 4.3 3.1 4.5 4.8 3.9
VLOG111 4.9 4.6 3.8 5 4.2
VLOG112 3.1 5.7 5.4 5.2 4.6
VLOG113 4.6 5.1 4.2 5.3 4.9
VLOG114 4.8 5.4 4.2 5.3 4.6
VLOG116 2.7 5.6 4.4 5.3 3.2
VLOG117 6.3 4.6 4 4.8 5.4
VLOG118 5.4 3.5 4 3.8 4.4
VLOG119 5 5.5 3.8 5.4 4.9
VLOG120 4.9 3.7 4.8 4.9 4
VLOG122 5.2 5.1 5 4.7 5
VLOG123 5.3 4.9 5.5 4.8 5
VLOG124 4.3 3.8 2.6 4.1 4
VLOG125 4.5 4.5 3.7 4.2 4.5
VLOG126 5.4 6.4 4.9 5.2 5.2
VLOG127 5.3 5.1 4.1 4.9 4
VLOG129 5.4 4.7 5.2 4.8 5
VLOG130 2.8 6 4.5 5.6 3.7
VLOG131 3.2 4.3 4.5 5.1 3.4
VLOG132 3.8 5.5 4.8 5.3 4.7
VLOG133 5 4.2 5.5 4.8 5
VLOG134 3.6 4.9 4.1 5 4.4
VLOG135 5.8 6.3 5.8 6 6.3
VLOG136 5.4 4.6 5 4.7 4.9
VLOG137 3.3 5 4 3.8 3.4
VLOG138 5.9 2.6 3.8 3.5 4.8
VLOG140 6 5.8 5.6 5.8 4.6
VLOG141 6 6 4.8 5.9 4.6
VLOG142 3.9 4.6 2.9 4.6 3.9
VLOG143 5.5 3.7 5 5.5 5.3
VLOG144 5.1 2.7 4.6 4.8 4.7
VLOG145 3.7 4 3.6 4.7 3.5
VLOG146 5.4 4.2 3.9 4.4 5.2
VLOG147 3.8 5 4.4 5.1 4.1
VLOG148 4.8 5.4 4.6 5.9 5.2
VLOG149 4 4.5 4.5 5 4.6
VLOG150 3.9 5.2 5.4 5.6 4.9
VLOG151 4.2 5.6 6.1 6.3 6
VLOG152 5.7 5.4 4.5 5.5 4.8
VLOG153 3.1 4.9 5.5 5.5 4.1
VLOG154 5.9 5 4 5 5.5
VLOG155 5.3 5.8 4.7 5.4 4
VLOG156 4.9 5.3 5.8 5.9 6
VLOG158 4 5.7 5.4 4.6 5.8
VLOG159 4.6 3.3 4.6 3.8 3.9
VLOG160 5 4.8 3.4 4.3 5
VLOG161 5.8 4.9 4 5.2 5.6
VLOG162 3.8 4.2 4.5 4.2 3.8
VLOG163 3.2 3.3 3.9 3.7 4.5
VLOG164 4 5.21428571428571 5.14285714285714 5.85714285714286 4.64285714285714
VLOG165 3.7 5.5 6.2 6 5.3
VLOG166 4.7 5 4.7 5.5 5.6
VLOG167 6.08333333333333 5.08333333333333 6.16666666666667 5.25 5.91666666666667
VLOG168 5.8 4.6 5.1 5.4 4.9
VLOG169 5.7 5.8 4.1 5.2 4
VLOG170 5.9 5.3 4.3 3.3 5.4
VLOG171 4.8 3.6 4.6 3.9 4.6
VLOG172 2.9 5.6 5.6 3.8 4.7
VLOG173 4.6 2.7 3.6 3.8 4.5
VLOG174 3 3.4 4.2 5 3.9
VLOG175 3.7 5.8 5 4.9 4
VLOG176 5.1 5.8 6.1 6.4 5.1
VLOG178 5.5 4.9 5.1 4.9 4.7
VLOG179 5.9 5.5 3.3 5.1 5.1
VLOG180 4.1 4.3 3 3.7 4.9
VLOG181 5.5 4.5 2.4 4.5 4.7
VLOG182 3.8 3.6 3 3.8 4.8
VLOG183 4.42857142857143 4.78571428571429 4.28571428571429 5.14285714285714 4.14285714285714
VLOG184 5 6.5 5.1 6.2 4.7
VLOG186 5.5 5.2 4.6 4.9 5.1
VLOG187 4.7 2.5 3.1 2.8 5.7
VLOG189 3.6 4.4 4.9 4.7 3.6
VLOG190 4.7 4.3 3.9 4.4 4.1
VLOG191 4.6 5.8 5.7 5.5 5.7
VLOG192 4.41666666666667 3.83333333333333 3.83333333333333 3.41666666666667 4.08333333333333
VLOG193 4.7 4.7 5.3 5.6 4.4
VLOG194 4.7 4.6 5 4.6 3.9
VLOG195 2.3 5.5 5.3 5 4.3
VLOG196 4.6 5.5 4.8 5 5.4
VLOG197 5.5 4.1 4.6 4.5 5.8
VLOG198 4 5.2 3.3 4.5 4
VLOG199 4.2 5.2 4.5 5.4 4.2
VLOG201 5.3 4.2 4.1 4.6 5.2
VLOG202 4.2 4.2 4.7 3.3 4.5
VLOG204 4.9 4.9 4.2 5.7 4.6
VLOG205 5.5 3.9 4.5 4.5 5
VLOG207 2.4 5.6 4.4 5.7 3.4
VLOG209 3.4 4.8 5.4 4.6 5.2
VLOG210 6.5 4.1 3.9 4.1 6
VLOG212 5.9 4.6 3.9 5 5.6
VLOG213 5.1 2.8 4.7 3.8 3.1
VLOG214 3.4 3.6 4.2 3.9 4.3
VLOG216 5 3.2 4.2 3.4 4.5
VLOG217 3 3.8 1.9 4.3 4.8
VLOG218 4.2 5.1 5.1 5.1 5.6
VLOG219 5.2 5.6 5 4.7 5.7
VLOG220 5.2 5.9 3.5 4.8 4.9
VLOG221 4.7 5.1 4.2 4.9 4.5
VLOG222 4.7 4.9 4 4.5 4.7
VLOG223 5.4 6.2 5.4 6.1 6.2
VLOG224 4.1 5.4 4 5.2 4.4
VLOG225 2.9 5.1 5.7 5.5 4.1
VLOG226 2.4 4.8 4.2 3.3 3.8
VLOG227 4.8 4.1 5 4.3 4.2
VLOG228 5.2 5.1 5.3 5.3 5.7
VLOG229 4.7 4.8 4.5 5.2 3.8
VLOG232 5.8 3 4 3.9 5.6
VLOG233 3 4.2 4.5 5.2 5.1
VLOG234 3 5.1 2.8 4.6 4.5
VLOG235 4.3 5 4.2 5.5 5.4
VLOG236 3.8 5.3 5.3 4.9 3.8
VLOG237 3.6 2.5 3.5 3 3.9
VLOG239 3.16666666666667 5.66666666666667 4.25 4.08333333333333 4.16666666666667
VLOG241 4.9 3.9 4.6 4.8 4.5
VLOG242 4.9 2.8 4.5 3.6 4.3
VLOG243 5.2 4.4 4.5 4.7 4.3
VLOG244 5.7 4.7 4 4.1 5.2
VLOG246 5.4 5.1 4.4 5 5.7
VLOG247 5.3 5.5 4.8 5.3 4.8
VLOG248 3.8 4.6 3.3 4.9 4.8
VLOG249 3.9 5 5.2 6.1 5.3
VLOG250 5 5.1 5.6 5.6 4.9
VLOG251 4.6 4.4 4.3 5.2 5.7
VLOG252 5.5 5.1 4.2 4.5 4.6
VLOG253 5.9 5.5 3.3 4.9 4.8
VLOG254 4.7 3.1 4.4 3.8 3.7
VLOG255 4.7 3.4 4.2 4.1 4.1
VLOG256 5.9 5.3 4.7 4.8 6.1
VLOG257 5.3 5 5.3 5.2 5.4
VLOG259 5.9 5.5 4.7 5.5 5.8
VLOG260 5.8 5.2 4.7 5.3 5.2
VLOG261 4.9 5.6 5.1 5.5 5.9
VLOG262 3.75 4.41666666666667 5.66666666666667 5.25 4.66666666666667
VLOG263 4.41666666666667 4.16666666666667 4.41666666666667 5 4.66666666666667
VLOG264 4.8 4.4 4.6 4.7 4.5
VLOG265 3.7 6 5.7 6 4.9
VLOG266 4.2 6.1 5.4 4.9 4.5
VLOG267 4.9 5 4.2 5.7 5.1
VLOG268 5.8 5.3 4.2 4.8 5.5
VLOG269 5 3.7 3.7 4.6 4.2
VLOG270 3.2 3.8 5.3 5.3 4
VLOG271 4.5 3.1 5.5 4.5 3.8
VLOG272 4 4.7 4.3 4.2 4.5
VLOG273 5.57142857142857 2.64285714285714 4.78571428571429 2.57142857142857 4.57142857142857
VLOG274 5.2 5.5 3.8 5.4 5
VLOG275 3.7 5 5.2 5.1 5
VLOG276 2.6 4.4 4.4 3.9 3.7
VLOG277 4.8 4.8 5.5 5.6 4.8
VLOG278 5.5 5.7 5.5 5.1 5.1
VLOG279 6.1 3.1 3.6 4.1 5.5
VLOG280 3.8 5.6 4.7 5.5 4.5
VLOG281 4.66666666666667 4.08333333333333 4.75 4.41666666666667 4.66666666666667
VLOG282 5.7 4.1 3.8 4.8 4.8
VLOG283 5.5 5.9 5 5.6 4.5
VLOG284 3.6 5.4 5.2 5.1 4.5
VLOG285 5.1 3.6 5.7 4.5 5.2
VLOG286 4 3.6 4.3 3.3 3.9
VLOG287 5.5 2 3.6 2.4 3.5
VLOG288 5.5 3.7 5.5 4.8 5
VLOG289 5.71428571428571 5.5 4.92857142857143 5.21428571428571 5.21428571428571
VLOG290 4.9 2.8 3.8 2.7 4.2
VLOG291 5.5 4.6 4.1 5.1 5.9
VLOG292 4.9 4.4 5.4 6 6
