vlogId mean.pitch sd.pitch mean.conf.pitch sd.conf.pitch mean.spec.entropy sd.spec.entropy mean.val.apeak sd.val.apeak mean.loc.apeak sd.loc.apeak mean.num.apeak sd.num.apeak mean.energy sd.energy mean.d.energy sd.d.energy avg.voiced.seg avg.len.seg time.speaking voice.rate num.turns hogv.entropy hogv.median hogv.cogR hogv.cogC
VLOG1 178.15 0.38358 1.2526 0.4544 3.3674 0.29309 0.82192 0.12429 0.018525 0.38232 4.169 2.2395 0.061449 1.1213 -0.0020473 0.025597 0.18441 1.3559 0.60796 0.051389 0.44839 7.026606 0.14787 121 198
VLOG3 239.32 0.36474 1.2205 0.41543 3.815 0.17479 0.64969 0.22731 0.027022 0.75389 9.6661 4.745 0.0021029 1.2898 -1.1418e-05 0.0012289 0.16404 1.0272 0.51374 0.057632 0.50013 4.006787 0.008571 175 164
VLOG5 173.5 0.47636 1.1678 0.50508 3.6949 0.32347 0.65878 0.22253 0.021466 0.64251 5.9906 2.9443 0.0031128 2.0487 -6.3865e-05 0.0026112 0.30966 2.2164 0.70205 0.037614 0.31675 7.016616 0.57479 117 156
VLOG6 201.28 0.27454 1.4996 0.40633 3.8767 0.22874 0.67715 0.17994 0.0295 1.0196 10.359 4.9313 0.032137 0.97954 -0.00010114 0.014806 0.19399 2.5351 0.75993 0.048036 0.29976 3.465855 0.008744 108 179
VLOG7 275.68 0.48758 1.0312 0.42298 3.6332 0.52273 0.45095 0.28455 0.017109 0.68817 5.0138 4.2065 0.1286 1.2327 -5.1129e-05 0.04323 0.56 1.7204 0.60069 0.024801 0.34916 7.16026 0.285714 135 156
VLOG8 255.58 0.4231 1.1554 0.39079 3.759 0.27783 0.73244 0.16578 0.021644 0.58046 6.1914 2.7346 0.032058 1.6236 -0.0002169 0.015874 0.16954 0.84412 0.46439 0.056864 0.55015 7.612877 0.418219 123 178
VLOG9 230.75 0.22081 1.8695 0.61309 3.7116 0.29866 0.80204 0.13597 0.025697 0.36677 7.3657 3.3669 0.0014254 1.5372 -1.3825e-05 0.0006667 0.18044 1.6186 0.67458 0.054172 0.41678 7.032778 0.120711 110 156
VLOG10 285.22 0.41384 1.138 0.55987 3.1983 0.44183 0.60566 0.31641 0.02372 0.58837 4.85 2.8999 0.018539 1.2053 5.5986e-05 0.0089998 0.421 2.493 0.76182 0.02934 0.30559 6.246118 0.084599 125 166
VLOG11 165.2 0.46293 0.77463 0.25118 3.783 0.3914 0.69098 0.19036 0.029253 1.6214 8.2293 7.5134 0.024159 1.1047 -0.00019999 0.0096855 0.24017 1.1785 0.5108 0.049608 0.43345 2.53363 0 209 125
VLOG12 166.7 0.6407 0.83802 0.32249 3.8379 0.19322 0.62217 0.16757 0.018456 0.97096 5.6841 3.8221 0.01485 1.4972 -3.618e-05 0.009431 0.24495 1.328 0.66418 0.044177 0.50013 5.016236 0.021807 135 197
VLOG13 221.66 0.28828 1.5353 0.47907 3.8059 0.2959 0.70171 0.19802 0.030636 1.0578 9.5554 7.0243 0.0079403 1.7791 1.0394e-05 0.0036239 0.328 2.4951 0.70712 0.036213 0.28341 4.764649 0.021818 167 127
VLOG14 267.29 0.28062 1.6919 0.53166 3.3786 0.3474 0.82577 0.13181 0.031249 0.41882 7.5332 2.6622 0.076525 1.1762 -3.4644e-06 0.040203 0.24991 2.2606 0.77508 0.045163 0.34287 6.554264 0.148036 160 175
VLOG15 157.64 0.56322 1.0007 0.34906 3.3503 0.22967 0.77599 0.18533 0.017408 0.59725 5.5933 2.3094 0.0065148 0.80402 1.4422e-05 0.0016993 0.41882 2.1472 0.71592 0.031669 0.33342 4.199742 0.003863 100 165
VLOG16 232.44 0.21146 1.4655 0.45976 4.0486 0.14761 0.70862 0.12359 0.035421 1.1936 13.584 8.6923 0.004007 1.1325 -8.1603e-06 0.0018594 0.15782 2.5689 0.77087 0.058478 0.30008 4.447734 0.006768 98 162
VLOG17 246.27 0.22292 1.3079 0.47883 3.5909 0.42018 0.71936 0.21896 0.029911 0.76162 6.8323 5.0983 0.030617 1.0652 -2.4634e-05 0.012169 1.1446 1.8136 0.51305 0.013492 0.28288 7.017331 0.2 132 177
VLOG18 194.72 0.2817 1.2993 0.41938 3.8215 0.2713 0.7206 0.1472 0.023085 0.40603 6.3514 2.8559 0.034449 1.2056 9.2787e-06 0.019549 0.23584 1.703 0.69587 0.046223 0.4086 7.107432 0.468896 123 157
VLOG19 214.48 0.15306 1.583 0.46887 3.555 0.32735 0.83532 0.13054 0.023287 0.28853 5.0353 2.3508 0.006032 0.99504 -2.8881e-05 0.0021797 0.23973 1.7855 0.65484 0.047658 0.36676 5.42976 0.02973 118 127
VLOG21 257.11 0.41023 0.83347 0.28197 3.6263 0.21298 0.52285 0.19504 0.01619 0.73859 5.3027 2.0167 0.0031194 1.1014 -5.4984e-06 0.0013051 0.41983 1.9944 0.66498 0.02848 0.33342 6.492818 0.060697 96 159
VLOG22 285.79 0.33286 1.175 0.51284 3.6466 0.39752 0.57218 0.23518 0.03351 0.78464 7.3713 4.5341 0.011685 3.2092 0.00011764 0.017861 0.35004 1.5087 0.42792 0.035558 0.28364 6.713452 0.227571 127 161
VLOG23 138.38 0.49221 0.90141 0.36848 3.6259 0.30179 0.70012 0.21445 0.017419 0.83415 5.8089 3.222 0.00089766 1.089 -4.9728e-06 0.00036675 0.40243 1.7731 0.65031 0.032404 0.36676 7.216176 0.263889 145 154
VLOG24 500 0 0 0 0.014737 3.9571e-16 0 0 0 0 1 0 0 0 0 0 8.048 8.056 0.26832 0.0019861 0.033307 7.238729 0.25 128 167
VLOG25 127.17 0.43989 1.0487 0.31362 3.8206 0.22612 0.62989 0.19783 0.01922 0.93669 8.8813 3.3191 0.0035069 0.51249 2.043e-06 0.00061341 0.29657 1.6864 0.63284 0.039848 0.37526 2.440533 0 134 157
